year_of_assessment,resident_type,chargeable_income_group,no_of_companies,chargeable_income,net_tax_assessed
2014,Non-Tax Resident,"300,001 - 500,000",71,28,4
2014,Non-Tax Resident,"500,001 - 1,000,000",88,61,8
2014,Non-Tax Resident,"1,000,001 - 3,000,000",108,193,29
2014,Non-Tax Resident,"3,000,001 - 5,000,000",38,145,22
2014,Non-Tax Resident,"5,000,001 & above",156,10234,1231
2014,Tax Resident,"10,000 & below",15911,52,6
2014,Tax Resident,"10,001 - 20,000",6338,93,12
2014,Tax Resident,"20,001 - 30,000",4460,110,14
2014,Tax Resident,"30,001 - 60,000",8363,364,45
2014,Tax Resident,"60,001 - 100,000",6356,497,62
2014,Tax Resident,"100,001 - 300,000",9109,1516,190
2014,Tax Resident,"300,001 - 500,000",2811,1098,133
2014,Tax Resident,"500,001 - 1,000,000",3222,2258,291
2014,Tax Resident,"1,000,001 - 3,000,000",3267,5624,843
2014,Tax Resident,"3,000,001 - 5,000,000",897,3447,534
2014,Tax Resident,"5,000,001 & above",2049,76062,9777
2015,Non-Tax Resident,"10,000 & below",331,1,0
2015,Non-Tax Resident,"10,001 - 20,000",254,4,0
2015,Non-Tax Resident,"20,001 - 30,000",226,6,1
2015,Non-Tax Resident,"30,001 - 60,000",355,15,2
2015,Non-Tax Resident,"60,001 - 100,000",185,15,2
2015,Non-Tax Resident,"100,001 - 300,000",209,33,4
2015,Non-Tax Resident,"300,001 - 500,000",64,25,3
2015,Non-Tax Resident,"500,001 - 1,000,000",93,66,9
2015,Non-Tax Resident,"1,000,001 - 3,000,000",103,182,27
2015,Non-Tax Resident,"3,000,001 - 5,000,000",40,154,24
2015,Non-Tax Resident,"5,000,001 & above",158,10584,1243
2015,Tax Resident,"10,000 & below",16327,55,7
2015,Tax Resident,"10,001 - 20,000",6858,101,12
2015,Tax Resident,"20,001 - 30,000",6613,171,24
2015,Tax Resident,"30,001 - 60,000",8804,382,47
2015,Tax Resident,"60,001 - 100,000",6813,534,66
2015,Tax Resident,"100,001 - 300,000",9631,1619,201
2015,Tax Resident,"300,001 - 500,000",2994,1170,141
2015,Tax Resident,"500,001 - 1,000,000",3472,2425,311
2015,Tax Resident,"1,000,001 - 3,000,000",3417,5919,883
2015,Tax Resident,"3,000,001 - 5,000,000",930,3607,561
2015,Tax Resident,"5,000,001 & above",2042,81579,10026
2016,Non-Tax Resident,"10,000 & below",351,1,0
2016,Non-Tax Resident,"10,001 - 20,000",228,3,0
2016,Non-Tax Resident,"20,001 - 30,000",249,6,1
2016,Non-Tax Resident,"30,001 - 60,000",332,14,1
2016,Non-Tax Resident,"60,001 - 100,000",188,14,1
2016,Non-Tax Resident,"100,001 - 300,000",218,35,3
2016,Non-Tax Resident,"300,001 - 500,000",83,32,4
2016,Non-Tax Resident,"500,001 - 1,000,000",96,68,10
2016,Non-Tax Resident,"1,000,001 - 3,000,000",103,191,30
2016,Non-Tax Resident,"3,000,001 - 5,000,000",40,162,26
2016,Non-Tax Resident,"5,000,001 & above",151,9747,1206
2016,Tax Resident,"10,000 & below",17850,60,5
2016,Tax Resident,"10,001 - 20,000",7235,106,10
2016,Tax Resident,"20,001 - 30,000",7632,200,25
2016,Tax Resident,"30,001 - 60,000",9295,404,37
2016,Tax Resident,"60,001 - 100,000",7055,553,51
2016,Tax Resident,"100,001 - 300,000",10178,1727,165
2016,Tax Resident,"300,001 - 500,000",3224,1257,150
2016,Tax Resident,"500,001 - 1,000,000",3313,2351,330
2016,Tax Resident,"1,000,001 - 3,000,000",3375,5828,902
2016,Tax Resident,"3,000,001 - 5,000,000",953,3660,576
2016,Tax Resident,"5,000,001 & above",2137,87421,10573
2017,Non-Tax Resident,"10,000 & below",366,2,0
2017,Non-Tax Resident,"10,001 - 20,000",248,4,0
2017,Non-Tax Resident,"20,001 - 30,000",239,6,1
2017,Non-Tax Resident,"30,001 - 60,000",346,14,1
2017,Non-Tax Resident,"60,001 - 100,000",195,15,1
2017,Non-Tax Resident,"100,001 - 300,000",208,35,3
2017,Non-Tax Resident,"300,001 - 500,000",64,25,3
2017,Non-Tax Resident,"500,001 - 1,000,000",98,72,10
2017,Non-Tax Resident,"1,000,001 - 3,000,000",101,180,27
2017,Non-Tax Resident,"3,000,001 - 5,000,000",29,107,17
2017,Non-Tax Resident,"5,000,001 & above",139,8439,1031
2017,Tax Resident,"10,000 & below",19062,62,5
